exemptn_no,mfr_no,mfr_name,report_id,date_of_event,mfr_aware_date,event_type,dev_prob_cd,report_year,report_qtr,initial_report_flag,dev_id,product_code,brand_name,model_no,catalog_no,impl_avail_for_eval,impl_ret_to_mfr
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00086,,08/27/1999,M,1010,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00088,,08/28/1999,M,1052;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00089,,08/28/1999,M,1052;1746,1999,4,I,0784-00-0139,DSP,"True Sheathless DL 9.5 Fr. 34cc IAB,,,",0784-00-0139,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00090,,08/28/1999,M,1052;1746,1999,4,I,0784-00-0139,DSP,"True Sheathless DL 9.5 Fr. 34cc IAB,,,",0784-00-0139,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00095,,08/20/1999,IN,1528,1999,4,I,0684-00-0306,DSP,True Sheathless DL 9.5 Fr. 40cc IAB,0684-00-0306,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00096,,08/30/1999,M,1354,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00097,,08/30/1999,IN,1052;1212;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00101,,08/30/1999,M,1010;1052;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00111,,08/29/1999,IN,1010;1212;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00146,,09/05/1999,M,1010;1049;1746,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00150,,09/02/1999,M,1316,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00155,,09/05/1999,M,1049,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00156,,09/02/1999,M,1052,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00159,,09/18/1999,M,1052;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00166,,09/06/1999,M,1010;1052;1746,1999,4,I,0684-00-0269,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0269,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00167,,09/06/1999,M,1259,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00168,,09/12/1999,IN,1049;1212;1528,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00169,,09/13/1999,M,1010;1456,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00172,,09/09/1999,M,1316,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00174,,09/11/1999,M,1052;1530,1999,4,I,0684-00-0269,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0269,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00175,,09/11/1999,M,1049;1746,1999,4,I,0684-00-0269,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0269,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00176,,09/11/1999,M,1049;1746,1999,4,I,0684-00-0306,DSP,True Sheathless DL 9.5 Fr. 40cc IAB,0684-00-0306,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00177,,09/11/1999,M,1052;1746,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00178,,09/11/1999,M,1052,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00179,,09/11/1999,M,1052;1746,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00180,,09/12/1999,M,1010;1049;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00181,,09/12/1999,M,1052;1746,1999,4,I,0684-00-0180,DSP,,,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00186,,09/16/1999,M,1316;1530,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00203,,09/18/1999,M,1316;1528,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00207,,09/19/1999,M,1052;1530;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00208,,09/19/1999,M,1052;1530,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00209,,09/20/1999,M,1052;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00210,,09/20/1999,M,1052;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00216,,09/20/1999,M,1052,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00217,,09/20/1999,M,1010;1339;1456,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00219,,09/18/1999,M,1052;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00220,,09/23/1999,M,1010;1052;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00222,,09/23/1999,M,1010;1049;1746,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00223,,09/23/1999,M,1052;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00227,,09/23/1999,M,1052,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00228,,09/23/1999,M,1010;1530,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00229,,09/23/1999,M,1069;1105,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00230,,09/10/1999,M,1010,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00231,,09/10/1999,M,1010;1456;1530,1999,4,I,0684-00-0307,DSP,True Sheathless DL 9.5 Fr. 34cc IAB,0684-00-0307,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00234,,09/24/1999,M,1052;1746,1999,4,I,0684-00-0206-01,DSP,Stat-DL 9.5 Fr. 34cc IAB,0684-00-0206-01,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00237,,09/25/1999,M,1628,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00238,,09/25/1999,M,1010;1049;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00239,,09/25/1999,M,1049;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00241,,09/25/1999,M,1339,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00242,,09/25/1999,M,1339,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00243,,09/11/1999,M,1052,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00253,,09/27/1999,M,1010;1052;1746,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00255,,09/30/1999,M,1049;1746,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00261,,09/30/1999,M,1310,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00269,,09/30/1999,M,1052;1530,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00315,,09/02/1999,M,1049,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00321,,10/02/1999,M,1010;1310;1316,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00343,,10/13/1999,M,1010,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00344,,10/03/1999,M,1010;1052;1746,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00346,,10/01/1999,M,1316;1530,1999,4,I,0684-00-0206-01,DSP,Stat-DL 9.5 Fr. 34cc IAB,0684-00-0206-01,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00348,,10/13/1999,M,1052,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00351,,10/02/1999,M,1052;1530,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00352,,10/21/1999,M,1052,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00353,,10/21/1999,M,1010;1049;1746,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00355,,10/03/1999,M,1310,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00356,,10/03/1999,M,1528,1999,4,I,0784-00-0141,DSP,,,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00357,,10/06/1999,M,1010,1999,4,I,0784-00-0141,DSP,,,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00358,,10/08/1999,M,1530;2203,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00359,,10/08/1999,M,1010;1052,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00361,,10/08/1999,M,1010,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00362,,10/13/1999,M,1049;1746,1999,4,I,0784-00-0139,DSP,"True Sheathless DL 9.5 Fr. 34cc IAB,,,",0784-00-0139,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00364,,10/13/1999,M,1052;1530,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00369,,10/21/1999,M,1316;1530,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00370,,10/21/1999,M,1316;1530,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00379,,12/02/1999,IN,1052;174,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00393,,10/01/1999,M,1010;1530,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00400,,10/24/1999,M,1052;1530,1999,4,I,UNKNOWN,DSP,"Unknown,,,",UNKNOWN,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00403,,10/28/1999,M,1010;1043,1999,4,I,0784-00-0141,DSP,,,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00405,,10/24/1999,M,1010;1354,1999,4,I,0884-00-0008,DSP,"Profile 8 Fr. 34cc IAB,,,",0884-00-0008,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00408,,10/03/1999,M,1310;1530,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00476,,10/02/1999,M,1052,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00480,,11/04/1999,M,2385,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00483,,10/20/1999,M,1310,1999,4,I,0884-00-0009,DSP,"Profile 8 Fr. 40cc IAB,,,",0884-00-0009,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00491,,10/13/1999,M,1052;1530,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
1997044DSP,2248146,DATASCOPE CORP. CARDIAC ASSIST DIVISION,00492,,10/13/1999,M,1052;1530,1999,4,I,0684-00-0283,DSP,Stat-DL 9.5 Fr. 40cc IAB,0684-00-0283,,,
